title,developer,publisher,year
"Metal Mech: Man & Machine
Metal Flame: Psybuster (JP)",Sculptured Software,Jaleco,1991
"Metal Storm
Juuryoku Soukou Metal Storm (JP)",Tamtex,Irem,1991
Metroid,"Nintendo R&D1
Intelligent Systems",Nintendo,1987
"Michael Andretti's World GP
Nakajima Satoru: F-1 Hero (JP)",Human Entertainment,"Varie (JP)
American Sammy (NA)",1990
"Mickey Mousecapade
Mickey Mouse: Fushigi no Kuni no Daibōken (JP)",Hudson Soft,"Hudson Soft (JP)
Capcom (NA)",1988
Mickey's Adventures in Numberland,Beam Software,Hi Tech Expressions,1994
Mickey's Safari in Letterland,Beam Software,Hi Tech Expressions,1993
Might and Magic Book One: The Secret of the Inner Sanctum,New World Computing,"Gakken (JP)
American Sammy (NA)",1992
Mighty Bomb Jack,Tecmo,Tecmo,1987
Mighty Final Fight,Capcom,Capcom,1993
"Mike Tyson's Punch-Out!!
Punch-Out!! (JP)",Nintendo R&D3,Nintendo,1987
Millipede,HAL Laboratory,"HAL Laboratory (JP)
HAL America (NA)",1988
"Milon's Secret Castle
Meikyuu Kumikyoku (JP)",Hudson Soft,Hudson Soft,1988
Mission: Impossible,Konami,"Ultra Games (NA)
Palcom Software (PAL)",1990
Monopoly,Sculptured Software,"Tomy (JP)
Parker Brothers (NA/PAL)",1991
Monster Party,Human Entertainment,Bandai,1989
Monster Truck Rally,Realtime Associates,INTV,1991
Monster in My Pocket,Konami,"Konami (NA)
Palcom Software (PAL)",1992
Motor City Patrol,Source Research & Development,Matchbox,1992
Ms. Pac-Man,Now Production,Namco,1993
Muppet Adventure: Chaos at the Carnival,Mind's Eye,Hi Tech Expressions,1990
Mystery Quest,Carry Lab,Taxan,1989
NARC,Rare,Acclaim Entertainment,1990
"NES Open Tournament Golf
Mario Open Golf (JP)",Nintendo R&D2,Nintendo,1991
NES Play Action Football,Tose,Nintendo,1990
NFL Football,Atlus,LJN,1989
